Collection,Volume (7d),Sales (7d),⏷  Volume (All Time),Sales (All Time),Avg Price (7d),Total Supply,Owners,Owners%,Estimated Market Cap,Added,Compound Score,Positive Score,Neutral Score,Negative Score
Bored Mummy Waking Up,25.24 ETH,101,"3,517.87 ETH",15505,0.25 ETH,8888,3666,41.25%,"2,221.38 ETH",2021/08/14,0.12683817099829972,0.09004141365071655,0.8653650716541171,0.04460153024046636
24px,13.65 ETH,206,"3,433.08 ETH",26333,0.07 ETH,9900,4243,42.86%,653.17 ETH,2021/08/14,0.12476633069354448,0.08942452603791698,0.8658311735061196,0.04475281977441805
Boss Beauties,59.97 ETH,220,"3,397.10 ETH",11807,0.27 ETH,10000,4482,44.82%,"2,726.07 ETH",2021/09/26,0.12734455774247094,0.09049407161489212,0.8649637182831397,0.04455062840882144
Omnimorphs,2.69 ETH,57,"3,368.54 ETH",11742,0.05 ETH,10000,4116,41.16%,471.26 ETH,2021/09/23,0.12642123271619402,0.0900790953831732,0.8655458167330677,0.044383641902976334
Crypto Cannabis Club,32.86 ETH,165,"3,282.89 ETH",10414,0.20 ETH,10000,4090,40.90%,"1,991.61 ETH",2021/08/09,0.12482179754459112,0.08951494093120223,0.8660565207319898,0.04443734074588835
Ether Cards Founder,31.25 ETH,80,"3,040.42 ETH",2476,0.39 ETH,10000,1571,15.71%,"3,906.84 ETH",2021/10/29,0.12413876803297456,0.08885207236088849,0.8670831234256927,0.04407350583924892
Gauntlets,7.46 ETH,51,"3,034.83 ETH",6645,0.15 ETH,10000,3880,38.80%,"1,461.80 ETH",2021/08/25,0.1236090332805071,0.08894838125424498,0.8667080597690741,0.0443535204890197
Party Penguins,0.41 ETH,19,"3,030.63 ETH",13232,0.02 ETH,9998,3499,35.00%,225.70 ETH,2021/07/29,0.12685237295724197,0.08988627714349677,0.8660782404298186,0.04404510857398702
Cosmic Labs,40.66 ETH,255,"3,021.49 ETH",11929,0.16 ETH,9000,3072,34.13%,"1,435.22 ETH",2021/11/10,0.1304228802302413,0.09021197697586895,0.8661685853442551,0.04362895727252602
Fatales,0.93 ETH,59,"2,969.57 ETH",9209,0.02 ETH,10000,3573,35.73%,158.18 ETH,2021/09/04,0.12819013575651408,0.08934311364134007,0.8671142982264068,0.043552003503393916
